姓名,性别,学号,文学,政治,军事学,管理学,工程学,哲学,体育,高等数学,礼仪课
关羽,男,1031,96,98,93,80,75,76,78,81,96
刘备,男,1032,93,97,92,78,74,78,80,77,95
韩信,男,1033,89,96,97,79,76,77,84,80,93
张良,男,1034,85,75,93,80,76,75,74,82,75
刘秀,男,1035,95,97,92,82,84,79,81,92,85
刘邦,男,1036,96,98,91,85,80,82,77,88,86
杨坚,男,1037,97,98,92,84,83,80,86,85,80
李世民,男,1038,95,97,94,80,78,79,80,86,83
赵匡胤,男,1039,97,99,97,88,90,79,85,93,88
岳飞,男,1040,90,88,95,82,81,81,85,79,88
苏轼,男,1041,96,94,84,80,82,84,73,86,89
辛弃疾,男,1042,94,97,92,83,76,84,77,82,90
苏颂,男,1043,92,93,88,81,82,85,83,78,87
祖冲之,男,1044,94,80,92,86,82,84,80,88,76
李清照,女,1045,95,85,86,78,84,79,78,83,92
鱼玄机,女,1046,91,90,94,78,81,82,80,87,91
朱元璋,男,1047,93,99,96,86,83,81,79,88,86
徐光启,男,1048,94,97,92,81,80,75,85,83,83
宋应星,男,1049,91,94,80,76,80,86,82,79,82
妲己,女,1050,89,95,88,88,79,76,76,81,88
西施,女,1051,91,94,89,79,76,83,75,85,96
吕雉,女,1052,93,98,93,82,80,75,83,84,98
卫子夫,男,1053,96,97,92,90,78,84,86,93,94
班昭,女,1054,85,80,81,79,80,80,75,76,84
花木兰,女,1055,89,87,94,76,78,81,79,80,86
陈圆圆,女,1056,88,86,89,78,75,80,76,87,85
慈禧,女,1057,95,99,97,90,85,79,87,93,96
孔子,男,2001,98,98,75,70,70,90,85,88,95
孟子,男,2002,95,97,75,72,70,88,86,89,93
李白,男,2003,96,75,75,70,75,70,95,90,88
诸葛亮,男,2004,95,98,90,95,92,85,75,90,80
鲁班,男,2005,85,70,70,92,95,70,75,70,70
孙武,男,2006,75,70,98,85,78,70,92,70,70
王阳明,男,2007,88,90,75,78,70,98,70,75,80
庄子,男,2008,75,80,70,70,75,95,70,70,85
墨子,男,2009,80,75,75,70,80,70,75,70,70
朱熹,男,2010,90,90,75,75,70,98,75,85,90
荀子,男,2011,85,75,75,75,75,92,70,80,70
貂蝉,女,2012,90,92,70,78,70,90,70,75,95
王昭君,女,2013,92,90,70,75,70,88,70,85,92
