姓名,性别,学号,大数据可视化,计算机组成原理,推荐系统,Python编程,人工智能,机器学习导论,金融投资课程,演讲与口才课程
关羽,男,1031,65,58,62,78,70,68,58,72
刘备,男,1032,70,65,75,80,75,78,70,75
韩信,男,1033,68,60,70,82,72,70,55,68
张良,男,1034,58,,68,75,65,60,,65
刘秀,男,1035,75,72,80,85,80,82,65,70
刘邦,男,1036,72,65,75,82,78,80,70,68
杨坚,男,1037,68,62,70,80,75,72,58,65
李世民,男,1038,75,75,78,85,80,80,70,75
赵匡胤,男,1039,80,78,82,88,85,85,75,80
岳飞,男,1040,65,60,75,78,72,70,58,70
苏轼,男,1041,75,68,72,80,78,75,68,82
辛弃疾,男,1042,70,62,75,78,75,72,65,75
苏颂,男,1043,72,70,78,82,80,75,68,70
祖冲之,男,1044,70,58,75,75,72,70,60,65
李清照,女,1045,80,75,70,75,78,72,70,90
鱼玄机,女,1046,78,70,75,78,75,72,68,88
朱元璋,男,1047,75,78,80,85,82,80,75,72
徐光启,男,1048,72,68,75,80,78,75,70,70
宋应星,男,1049,68,65,70,75,72,70,62,65
妲己,女,1050,70,80,65,75,68,65,80,85
西施,女,1051,75,75,65,75,70,70,78,88
吕雉,女,1052,78,80,75,85,80,75,75,95
卫子夫,男,1053,72,75,78,85,75,80,68,70
班昭,女,1054,65,60,62,70,70,70,65,75
花木兰,女,1055,70,70,70,75,75,75,70,80
陈圆圆,女,1056,75,68,65,75,70,70,75,82
慈禧,女,1057,80,82,80,88,85,85,80,92
孔子,男,2001,55,65,60,70,68,62,58,70
孟子,男,2002,58,70,62,72,70,65,60,75
李白,男,2003,60,,55,68,65,58,,68
诸葛亮,男,2004,68,72,75,80,78,75,62,70
鲁班,男,2005,58,,55,75,72,68,,65
孙武,男,2006,55,,78,68,65,62,,75
王阳明,男,2007,62,70,65,72,70,68,60,78
庄子,男,2008,60,,58,65,65,60,,70
墨子,男,2009,65,60,62,70,68,65,55,65
朱熹,男,2010,70,75,68,75,72,70,78,85
荀子,男,2011,68,62,65,70,70,65,62,70
貂蝉,女,2012,72,70,78,80,75,72,70,90
王昭君,女,2013,75,72,75,75,78,75,65,95
